wavelength,transmission
695,0.866953888
696,0.867780304
697,0.868245926
698,0.86838028
699,0.867845078
700,0.866854324
701,0.865454025
702,0.864210358
703,0.86281807
704,0.861167526
705,0.859421158
706,0.857600632
707,0.856330643
708,0.855296707
709,0.854753876
710,0.854001617
711,0.853660736
712,0.854106216
713,0.854946289
714,0.855697479
715,0.856485367
716,0.857871857
717,0.859550324
718,0.861553345
719,0.863317719
720,0.865378647
721,0.867116547
722,0.869429321
723,0.871553574
724,0.873258438
725,0.874886856
726,0.876382675
727,0.877841721
728,0.879117279
729,0.880166931
730,0.880584259
731,0.88120697
732,0.881583481
733,0.881875687
734,0.881239929
735,0.880333633
736,0.879225159
737,0.877904205
738,0.876332474
739,0.874356995
740,0.871819458
741,0.868935547
742,0.866147537
743,0.863006058
744,0.858979492
745,0.854732285
746,0.850299149
747,0.845613403
748,0.840876465
749,0.835308762
750,0.82926033
751,0.822958374
752,0.81661087
753,0.809369812
754,0.801599884
755,0.793213043
756,0.784462357
757,0.775124283
758,0.765088196
759,0.754206467
760,0.742350922
761,0.730076828
762,0.716984406
763,0.703208237
764,0.688388443
765,0.673055191
766,0.657337799
767,0.641713638
768,0.624688377
769,0.607583923
770,0.589925652
771,0.571392403
772,0.552842865
773,0.533938103
774,0.514079857
775,0.49471695
776,0.474859467
777,0.455216637
778,0.436017227
779,0.41683979
780,0.398167725
781,0.379662056
782,0.361569252
783,0.344208794
784,0.32721302
785,0.310753384
786,0.295112305
787,0.279882755
788,0.265943832
789,0.252284164
790,0.239348049
791,0.227229786
792,0.215699272
793,0.20486145
794,0.194358006
795,0.184373665
796,0.174925079
797,0.166118488
798,0.157681732
799,0.149577875
800,0.142236862
801,0.135302906
802,0.128730965
803,0.122522173
804,0.116618042
805,0.111090145
806,0.105959787
807,0.101004553
808,0.096344423
809,0.091990385
810,0.087846165
811,0.084091883
812,0.080395689
813,0.076978803
814,0.073648562
815,0.070620947
816,0.067771525
817,0.065116181
818,0.062576284
819,0.060193195
820,0.057874565
821,0.055743284
822,0.053627162
823,0.051700745
824,0.049849215
825,0.047998323
826,0.046365576
827,0.044794488
828,0.04327951
829,0.041851158
830,0.040494261
831,0.039186239
832,0.03791888
833,0.036728106
834,0.035639033
835,0.034569759
836,0.033475864
837,0.032567687
838,0.031689684
839,0.030770645
840,0.029891009
841,0.02911788
842,0.028324711
843,0.027664387
844,0.026872373
845,0.026289668
846,0.025616446
847,0.02505893
848,0.024441781
849,0.023875268
850,0.023310964
851,0.022788134
852,0.022323587
853,0.021889429
854,0.021374877
855,0.02095865
856,0.02056699
857,0.020199142
858,0.019836118
859,0.019460924
860,0.019101279
861,0.018784709
862,0.018474814
863,0.01816232
864,0.017859668
865,0.017596861
866,0.017311682
867,0.017083412
868,0.016840428
869,0.016632395
870,0.016402513
871,0.016203761
872,0.016005433
873,0.015825756
874,0.015630924
875,0.015462031
876,0.015316354
877,0.01514598
878,0.014989651
879,0.014861707
880,0.01471429
881,0.014583637
882,0.014439193
883,0.014323974
884,0.014228462
885,0.014143842
886,0.014045863
887,0.013938628
888,0.01386317
889,0.0137966
890,0.013712718
891,0.013623719
892,0.013581016
893,0.013526278
894,0.013479837
895,0.013443338
896,0.013446499
897,0.01339733
898,0.01338051
899,0.0133656
900,0.013375629
